subject_name,absolute_course_url,course_name
Computer Science,https://www.class-central.com/course/coursera-big-data-applications-machine-learning-at-scale-9509,Big Data Applications: Machine Learning at Scale
Computer Science,https://www.class-central.com/course/coursera-design-and-analyze-secure-networked-systems-9530,Design and Analyze Secure Networked Systems
Computer Science,https://www.class-central.com/course/coursera-improving-deep-neural-networks-hyperparameter-tuning-regularization-and-optimization-9054,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization"
Computer Science,https://www.class-central.com/course/coursera-introduction-to-cisco-networking-9162,Introduction to Cisco Networking
Computer Science,https://www.class-central.com/course/coursera-how-to-build-a-chatbot-without-coding-10364,How to Build a Chatbot Without Coding
Computer Science,https://www.class-central.com/course/coursera-it-security-defense-against-the-digital-dark-arts-10218, IT Security: Defense against the digital dark arts 
Computer Science,https://www.class-central.com/course/coursera-technical-support-fundamentals-10220,Technical Support Fundamentals
Computer Science,https://www.class-central.com/course/coursera-how-google-does-machine-learning-10446,How Google does Machine Learning
Computer Science,https://www.class-central.com/course/coursera-pointers-arrays-and-recursion-10326,"Pointers, Arrays, and Recursion"
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-big-data-and-machine-learning-fundamentals--11223,Google Cloud Platform Big Data and Machine Learning Fundamentals 日本語版
Computer Science,https://www.class-central.com/course/coursera-developing-and-deploying-microservices-with-microclimate-11502,Developing and Deploying Microservices with Microclimate
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure--11780,Google Cloud Platform Fundamentals: Core Infrastructure 日本語版
Computer Science,https://www.class-central.com/course/coursera-end-to-end-machine-learning-with-tensorflow-on-gcp-11785,End-to-End Machine Learning with TensorFlow on GCP
Computer Science,https://www.class-central.com/course/coursera-cloud-networking-2732,Cloud Networking
Computer Science,https://www.class-central.com/course/coursera-sprachtechnologie-in-den-digital-humanities-3494,Sprachtechnologie in den Digital Humanities
Computer Science,https://www.class-central.com/course/coursera-the-raspberry-pi-platform-and-python-programming-for-the-raspberry-pi-4334,The Raspberry Pi Platform and Python Programming for the Raspberry Pi
Computer Science,https://www.class-central.com/course/coursera-practical-predictive-analytics-models-and-methods-4341,Practical Predictive Analytics: Models and Methods
Computer Science,https://www.class-central.com/course/coursera-advanced-data-structures-in-java-4346,Advanced Data Structures in Java
Computer Science,https://www.class-central.com/course/futurelearn-cyber-security-safety-at-home-online-in-life-6265,"Cyber Security: Safety at Home, Online, in Life"
Computer Science,https://www.class-central.com/course/coursera-cloud-computing-applications-part-2-big-data-and-applications-in-the-cloud-6309,"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud"
Computer Science,https://www.class-central.com/course/coursera-divide-and-conquer-sorting-and-searching-and-randomized-algorithms-7352,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms"
Computer Science,https://www.class-central.com/course/coursera-serverless-machine-learning-with-tensorflow-on-google-cloud-platform-8696,Serverless Machine Learning with Tensorflow on Google Cloud Platform
Computer Science,https://www.class-central.com/course/coursera-sequence-models-9055,Sequence Models
Computer Science,https://www.class-central.com/course/coursera-basic-cryptography-and-programming-with-crypto-api-9531,Basic Cryptography and Programming with Crypto API
Computer Science,https://www.class-central.com/course/coursera-secure-networked-system-with-firewall-and-ids-9536,Secure Networked System with Firewall and IDS
Computer Science,https://www.class-central.com/course/coursera-cryptographic-hash-and-integrity-protection-9586,Cryptographic Hash and Integrity Protection
Computer Science,https://www.class-central.com/course/coursera-hacking-and-patching-9529,Hacking and Patching
Computer Science,https://www.class-central.com/course/coursera-introduction-to-deep-learning-9606,Introduction to Deep Learning
Computer Science,https://www.class-central.com/course/coursera-real-time-cyber-threat-detection-and-mitigation-9668,Real-Time Cyber Threat Detection and Mitigation
Computer Science,https://www.class-central.com/course/coursera-tcp-ip-and-advanced-topics-9269,TCP/IP and Advanced Topics
Computer Science,https://www.class-central.com/course/coursera-system-administration-and-it-infrastructure-services-10219, System Administration and IT Infrastructure Services
Computer Science,https://www.class-central.com/course/coursera-operating-systems-and-you-becoming-a-power-user-10221,Operating Systems and You: Becoming a Power User
Computer Science,https://www.class-central.com/course/coursera-ibm-blockchain-foundation-for-developers-9860,IBM Blockchain Foundation for Developers
Computer Science,https://www.class-central.com/course/coursera-reliable-cloud-infrastructure-design-and-process-9891,Reliable Cloud Infrastructure: Design and Process
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-en-francais-11779,Google Cloud Platform Fundamentals: Core Infrastructure en Français
Computer Science,https://www.class-central.com/course/coursera-analysis-of-algorithms-921,Analysis of Algorithms
Computer Science,https://www.class-central.com/course/coursera-applied-ai-with-deeplearning-2620,Applied AI with DeepLearning
Computer Science,https://www.class-central.com/course/coursera-la-web-semantica-herramientas-para-la-publicacion-y-extraccion-efectiva-de-informacion-en-la-web-4727,La Web Semántica: Herramientas para la publicación y extracción efectiva de información en la Web
Computer Science,https://www.class-central.com/course/coursera-------arduino----3d--4467,Строим роботов и другие устройства на Arduino. От светофора до 3D-принтера
Computer Science,https://www.class-central.com/course/coursera-data-structures-and-performance-4203,Data Structures and Performance
Computer Science,https://www.class-central.com/course/coursera-interfacing-with-the-raspberry-pi-4265,Interfacing with the Raspberry Pi
Computer Science,https://www.class-central.com/course/coursera-software-architecture-for-the-internet-of-things-6507,Software Architecture for the Internet of Things
Computer Science,https://www.class-central.com/course/coursera-recommender-systems-evaluation-and-metrics-6918,Recommender Systems:  Evaluation and Metrics
Computer Science,https://www.class-central.com/course/coursera-programming-languages-part-b-6920,"Programming Languages, Part B"
Computer Science,https://www.class-central.com/course/coursera-introduction-to-formal-concept-analysis-7769,Introduction to Formal Concept Analysis
Computer Science,https://www.class-central.com/course/coursera-system-validation-3-requirements-by-modal-formulas-7808,System Validation (3): Requirements by modal formulas
Computer Science,https://www.class-central.com/course/coursera-structuring-machine-learning-projects-9056,Structuring Machine Learning Projects
Computer Science,https://www.class-central.com/course/coursera-the-bits-and-bytes-of-computer-networking-10222,The Bits and Bytes of Computer Networking
Computer Science,https://www.class-central.com/course/coursera-tech-med-transdisciplinary-education-for-critical-hacks-of-medical-devices-10361,TECH MeD: Transdisciplinary Education for Critical Hacks of Medical Devices
Computer Science,https://www.class-central.com/course/coursera-ibm-cloud-deploying-microservices-with-kubernetes-10366,IBM Cloud: Deploying Microservices with Kubernetes
Computer Science,https://www.class-central.com/course/coursera-internet-of-things-capstone-v2-build-a-mobile-surveillance-system-10380,Internet of Things Capstone V2: Build a Mobile Surveillance System
Computer Science,https://www.class-central.com/course/coursera-classical-cryptosystems-and-core-concepts-9532,Classical Cryptosystems and Core Concepts
Computer Science,https://www.class-central.com/course/coursera-cryptography-and-information-theory-9587,Cryptography and Information Theory
Computer Science,https://www.class-central.com/course/coursera-getting-started-with-google-kubernetes-engine-9765,Getting Started with Google Kubernetes Engine
Computer Science,https://www.class-central.com/course/coursera-enterprise-and-infrastructure-security-9861,Enterprise and Infrastructure Security
Computer Science,https://www.class-central.com/course/coursera-launching-into-machine-learning-10621,Launching into Machine Learning
Computer Science,https://www.class-central.com/course/coursera-art-and-science-of-machine-learning-11073,Art and Science of Machine Learning
Computer Science,https://www.class-central.com/course/coursera-iot-internet-of-things-wireless-cloud-computing-emerging-technologies-11982,IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies
Computer Science,https://www.class-central.com/course/opensap-building-portal-sites-on-sap-cloud-platform-11863,Building Portal Sites on SAP Cloud Platform
Computer Science,https://www.class-central.com/course/coursera--software-testing-3357,软件测试 (Software Testing)
